PV MassSpec-24.10.00
EXPORTED RUN DATA
Run Path and Name: c:\Pfeiffer Vacuum\data\002-11-2025\100PPMCH4-TR1, Position 1, RGA PrismaPro A 200 47505932, 002-11-2025 16'54'02.isi
02/11/2025 16:54:02
SensorID:  RGA PrismaPro A 200 47505932
26 Bins
467 TimePoints

Time Relative (sec)	Time Absolute (UTC)	Time Absolute (Date_Time)	Step	Ionizer_State	Pressure_(mBar)	External_Pressure_(mBar)	16_amu_(Methane)	18_amu_(Water)	28_amu_(Nitrogen)	32_amu_(Oxygen)	44_amu_(CO2)	Periph:_Digital_In_0	Periph:_Digital_In_1	Periph:_Digital_In_13	Periph:_Digital_In_14	Periph:_Digital_In_15	Periph:_Digital_In_16	Periph:_Digital_In_17	Periph:_Digital_Out_2	Periph:_Digital_Out_3	Periph:_Digital_Out_4	Periph:_Digital_Out_5	Periph:_Digital_Out_6	Periph:_Digital_Out_7	Periph:_Digital_Out_8	Periph:_Digital_Out_9	Periph:_Digital_Out_10	Periph:_Digital_Out_11
3.203	1739289245.357	02/11/2025_16:54:05.357	1	3	1.472588792e-05	3.482314924e-06	1.343477218e-09	1.56906238e-10	2.019219814e-08	4.42635395e-09	8.414131371e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
3.439	1739289245.593	02/11/2025_16:54:05.593	1	3	1.4715416e-05	3.433276106e-06	1.343940514e-09	1.592165982e-10	2.028456336e-08	4.446234936e-09	8.288689179e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
3.676	1739289245.830	02/11/2025_16:54:05.830	1	3	1.473945576e-05	3.479643055e-06	1.354762191e-09	1.59299865e-10	2.027220525e-08	4.459570047e-09	8.041007096e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
3.913	1739289246.067	02/11/2025_16:54:06.067	1	3	1.471451833e-05	3.4903303e-06	1.342309042e-09	1.588415788e-10	2.031280921e-08	4.487855865e-09	8.125942627e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
4.15	1739289246.304	02/11/2025_16:54:06.304	1	3	1.470769712e-05	3.390123993e-06	1.35314715e-09	1.61371666e-10	2.029839585e-08	4.464992376e-09	8.42230799e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
4.387	1739289246.541	02/11/2025_16:54:06.541	1	3	1.470120787e-05	3.509108865e-06	1.358924528e-09	1.59527544e-10	2.025770485e-08	4.497955342e-09	8.061741379e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
4.623	1739289246.777	02/11/2025_16:54:06.777	1	3	1.473216616e-05	3.418831511e-06	1.356281532e-09	1.573170205e-10	2.021351264e-08	4.490676719e-09	7.858541075e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
4.86	1739289247.014	02/11/2025_16:54:07.014	1	3	1.471101677e-05	3.457042112e-06	1.354543699e-09	1.604087696e-10	2.026496837e-08	4.460846803e-09	8.620219989e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
5.097	1739289247.251	02/11/2025_16:54:07.251	1	3	1.467331731e-05	3.39792723e-06	1.335079491e-09	1.577795256e-10	2.02762287e-08	4.446972568e-09	7.878302177e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
5.334	1739289247.488	02/11/2025_16:54:07.488	1	3	1.46971679e-05	3.458371111e-06	1.349973355e-09	1.58284108e-10	2.007107192e-08	4.424241418e-09	7.734774626e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
5.571	1739289247.725	02/11/2025_16:54:07.725	1	3	1.484124277e-05	3.400536116e-06	1.344520939e-09	1.592232041e-10	2.017640455e-08	4.456836677e-09	8.018695083e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
5.807	1739289247.961	02/11/2025_16:54:07.961	1	3	1.453596906e-05	3.421456086e-06	1.346373679e-09	1.561810681e-10	2.011369737e-08	4.425274813e-09	8.466696962e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
6.044	1739289248.198	02/11/2025_16:54:08.198	1	3	1.458099905e-05	3.483645742e-06	1.340800915e-09	1.593721821e-10	1.997522681e-08	4.408971854e-09	7.962611473e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
6.281	1739289248.435	02/11/2025_16:54:08.435	1	3	1.463003991e-05	3.420138e-06	1.334509614e-09	1.578931014e-10	2.005315558e-08	4.415987576e-09	8.056773998e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
6.518	1739289248.672	02/11/2025_16:54:08.672	1	3	1.468271148e-05	3.453074441e-06	1.347184031e-09	1.57865096e-10	2.005536714e-08	4.435337431e-09	8.048318956e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
6.755	1739289248.909	02/11/2025_16:54:08.909	1	3	1.472241092e-05	3.455721753e-06	1.337361999e-09	1.566019259e-10	2.011088718e-08	4.425666056e-09	7.558350647e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
6.991	1739289249.145	02/11/2025_16:54:09.145	1	3	1.469203562e-05	3.499704917e-06	1.352190027e-09	1.599991251e-10	2.019236156e-08	4.485735783e-09	8.190731079e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
7.228	1739289249.382	02/11/2025_16:54:09.382	1	3	1.479353159e-05	3.487660251e-06	1.34877598e-09	1.581336451e-10	2.023529433e-08	4.474593585e-09	8.179391192e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
7.465	1739289249.619	02/11/2025_16:54:09.619	1	3	1.470595271e-05	3.475641734e-06	1.348120393e-09	1.615296369e-10	2.027443813e-08	4.445955604e-09	8.043617855e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
7.702	1739289249.856	02/11/2025_16:54:09.856	1	3	1.481553409e-05	3.453074441e-06	1.33927347e-09	1.582512038e-10	2.022856194e-08	4.478985183e-09	8.255927192e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
7.939	1739289250.093	02/11/2025_16:54:10.093	1	3	1.463306762e-05	3.44910336e-06	1.338595679e-09	1.592733306e-10	2.023877066e-08	4.488057481e-09	7.860930656e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
8.175	1739289250.329	02/11/2025_16:54:10.329	1	3	1.462827368e-05	3.475641734e-06	1.343404499e-09	1.631157293e-10	2.025051771e-08	4.459157488e-09	8.178576739e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
8.412	1739289250.566	02/11/2025_16:54:10.566	1	3	1.466103004e-05	3.459692834e-06	1.35771494e-09	1.573892544e-10	2.018503409e-08	4.474740578e-09	8.339456729e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
8.649	1739289250.803	02/11/2025_16:54:10.803	1	3	1.465668447e-05	3.465003374e-06	1.351905921e-09	1.599131938e-10	2.026054169e-08	4.481640836e-09	7.659563955e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
8.886	1739289251.040	02/11/2025_16:54:11.040	1	3	1.46562661e-05	3.466331691e-06	1.35221323e-09	1.591921178e-10	2.033013935e-08	4.462518355e-09	8.271995068e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
9.123	1739289251.277	02/11/2025_16:54:11.277	1	3	1.467323e-05	3.422763712e-06	1.344258815e-09	1.617345979e-10	2.027563184e-08	4.422505029e-09	8.793988107e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
9.359	1739289251.513	02/11/2025_16:54:11.513	1	3	1.469548715e-05	3.438542535e-06	1.349375722e-09	1.592519866e-10	2.017169365e-08	4.442163082e-09	8.397498842e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
9.596	1739289251.750	02/11/2025_16:54:11.750	1	3	1.465203786e-05	3.488993116e-06	1.34758138e-09	1.57843516e-10	2.022757606e-08	4.49631532e-09	7.997854982e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
9.833	1739289251.987	02/11/2025_16:54:11.987	1	3	1.470289408e-05	3.441178933e-06	1.343792522e-09	1.590344939e-10	2.021834078e-08	4.46271553e-09	7.723287287e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
10.07	1739289252.224	02/11/2025_16:54:12.224	1	3	1.470484676e-05	3.491668167e-06	1.339407696e-09	1.584240794e-10	2.005562294e-08	4.42815562e-09	8.161860944e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
10.307	1739289252.461	02/11/2025_16:54:12.461	1	3	1.471457563e-05	3.470318461e-06	1.333389066e-09	1.578803754e-10	2.01115391e-08	4.435777523e-09	8.174510548e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
10.543	1739289252.697	02/11/2025_16:54:12.697	1	3	1.46984512e-05	3.450425311e-06	1.340086375e-09	1.571185404e-10	2.008637878e-08	4.413506449e-09	8.188342365e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
10.78	1739289252.934	02/11/2025_16:54:12.934	1	3	1.472495387e-05	3.480980467e-06	1.349134138e-09	1.581700743e-10	2.007804589e-08	4.429697054e-09	7.645262895e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
11.017	1739289253.171	02/11/2025_16:54:13.171	1	3	1.471943688e-05	3.498364322e-06	1.350009327e-09	1.572713348e-10	2.004854061e-08	4.43232917e-09	8.32098019e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
11.254	1739289253.408	02/11/2025_16:54:13.408	1	3	1.482928019e-05	3.471652235e-06	1.345852985e-09	1.593020993e-10	2.01041459e-08	4.446091051e-09	8.348748776e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
11.491	1739289253.645	02/11/2025_16:54:13.645	1	3	1.473598604e-05	3.498364322e-06	1.346355472e-09	1.579917586e-10	2.014837897e-08	4.45257653e-09	8.349518126e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
11.727	1739289253.881	02/11/2025_16:54:13.881	1	3	1.485787561e-05	3.418831511e-06	1.344274914e-09	1.596205806e-10	2.023675627e-08	4.48405979e-09	8.158228433e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
11.964	1739289254.118	02/11/2025_16:54:14.118	1	3	1.467849143e-05	3.455721753e-06	1.35757583e-09	1.581444281e-10	2.013553058e-08	4.455667835e-09	7.924795369e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
12.201	1739289254.355	02/11/2025_16:54:14.355	1	3	1.468963183e-05	3.476977554e-06	1.337049582e-09	1.587133064e-10	2.015330125e-08	4.405880105e-09	8.067006264e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
12.438	1739289254.592	02/11/2025_16:54:14.592	1	3	1.466412232e-05	3.482314924e-06	1.341123101e-09	1.592400517e-10	2.020164658e-08	4.45960513e-09	8.271770421e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
12.675	1739289254.829	02/11/2025_16:54:14.829	1	3	1.467610673e-05	3.498364322e-06	1.34406497e-09	1.574305547e-10	2.014595424e-08	4.480014137e-09	7.808839513e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
12.911	1739289255.065	02/11/2025_16:54:15.065	1	3	1.470509415e-05	3.51314884e-06	1.355213164e-09	1.612592976e-10	2.020014378e-08	4.489342231e-09	7.733388582e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
13.148	1739289255.302	02/11/2025_16:54:15.302	1	3	1.470706411e-05	3.505073437e-06	1.364707347e-09	1.588219972e-10	2.021916501e-08	4.439999035e-09	7.954055817e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
13.385	1739289255.539	02/11/2025_16:54:15.539	1	3	1.472871918e-05	3.467663646e-06	1.348182121e-09	1.555799656e-10	2.021281098e-08	4.469184578e-09	8.373165009e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
13.622	1739289255.776	02/11/2025_16:54:15.776	1	3	1.469152721e-05	3.408367093e-06	1.357623125e-09	1.573023101e-10	2.017952383e-08	4.446617741e-09	8.866843024e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
13.859	1739289256.013	02/11/2025_16:54:16.013	1	3	1.482285006e-05	3.482314924e-06	1.342220335e-09	1.628654434e-10	2.025508294e-08	4.457678227e-09	7.822598472e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
14.095	1739289256.249	02/11/2025_16:54:16.249	1	3	1.456916016e-05	3.499704917e-06	1.352492673e-09	1.589266357e-10	2.01384367e-08	4.449874691e-09	7.634082602e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
14.332	1739289256.486	02/11/2025_16:54:16.486	1	3	1.467528728e-05	3.495684041e-06	1.340703881e-09	1.590245019e-10	2.024499679e-08	4.453072577e-09	8.035116843e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
14.569	1739289256.723	02/11/2025_16:54:16.723	1	3	1.471219639e-05	3.420138e-06	1.342163936e-09	1.594947091e-10	2.016561851e-08	4.458746261e-09	8.258509328e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
14.806	1739289256.960	02/11/2025_16:54:16.960	1	3	1.475092813e-05	3.506424264e-06	1.344189537e-09	1.585424847e-10	2.013775813e-08	4.459558056e-09	8.132726263e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
15.043	1739289257.197	02/11/2025_16:54:17.197	1	3	1.47130113e-05	3.446464689e-06	1.347770562e-09	1.595351212e-10	2.012805567e-08	4.451041757e-09	8.142272447e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
15.279	1739289257.433	02/11/2025_16:54:17.433	1	3	1.467277252e-05	3.488993116e-06	1.343714362e-09	1.566323321e-10	2.006944833e-08	4.448112545e-09	7.815721161e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
15.516	1739289257.670	02/11/2025_16:54:17.670	1	3	1.470195366e-05	3.466331691e-06	1.342201905e-09	1.576180714e-10	2.012362366e-08	4.40853043e-09	8.306204682e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
15.753	1739289257.907	02/11/2025_16:54:17.907	1	3	1.466008689e-05	3.52528923e-06	1.336652899e-09	1.592483229e-10	2.015382705e-08	4.417554322e-09	8.45475686e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
15.99	1739289258.144	02/11/2025_16:54:18.144	1	3	1.471807627e-05	3.400536116e-06	1.347412182e-09	1.574730069e-10	2.007384303e-08	4.460247727e-09	7.529750261e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
16.227	1739289258.381	02/11/2025_16:54:18.381	1	3	1.474032524e-05	3.51314884e-06	1.33684519e-09	1.577974418e-10	2.019800149e-08	4.475488424e-09	8.06968728e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
16.463	1739289258.617	02/11/2025_16:54:18.617	1	3	1.475887893e-05	3.441178933e-06	1.336400324e-09	1.584289366e-10	2.010682998e-08	4.456129687e-09	8.35488189e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
16.7	1739289258.854	02/11/2025_16:54:18.854	1	3	1.47401488e-05	3.480980467e-06	1.351735501e-09	1.563706387e-10	2.017126022e-08	4.422400224e-09	8.131716654e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
16.937	1739289259.091	02/11/2025_16:54:19.091	1	3	1.470071402e-05	3.428017862e-06	1.346268097e-09	1.562645985e-10	2.013920586e-08	4.453635238e-09	8.314556509e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
17.174	1739289259.328	02/11/2025_16:54:19.328	1	3	1.469437302e-05	3.410976433e-06	1.344754086e-09	1.563197072e-10	2.014089873e-08	4.410964927e-09	7.593746812e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
17.411	1739289259.565	02/11/2025_16:54:19.565	1	3	1.485201756e-05	3.48498088e-06	1.331891597e-09	1.569700203e-10	1.994843402e-08	4.392723962e-09	7.922544565e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
17.647	1739289259.801	02/11/2025_16:54:19.801	1	3	1.459173836e-05	3.410976433e-06	1.343527067e-09	1.541456546e-10	2.004398603e-08	4.423067246e-09	8.186005693e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
17.884	1739289260.038	02/11/2025_16:54:20.038	1	3	1.466326466e-05	3.425387831e-06	1.343587241e-09	1.575191644e-10	2.010672162e-08	4.454719704e-09	8.37016307e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
18.121	1739289260.275	02/11/2025_16:54:20.275	1	3	1.476906164e-05	3.470318461e-06	1.340442535e-09	1.582789178e-10	2.003793931e-08	4.427199496e-09	7.327455483e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
18.358	1739289260.512	02/11/2025_16:54:20.512	1	3	1.470297047e-05	3.495684041e-06	1.34122613e-09	1.563131291e-10	2.007093514e-08	4.414678845e-09	7.81089169e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
18.595	1739289260.749	02/11/2025_16:54:20.749	1	3	1.474021064e-05	3.451751127e-06	1.338551936e-09	1.564179758e-10	2.004101951e-08	4.41557102e-09	7.804751637e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
18.831	1739289260.985	02/11/2025_16:54:20.985	1	3	1.475772933e-05	3.511803015e-06	1.345531575e-09	1.564239016e-10	2.007032052e-08	4.41175585e-09	8.018767941e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
19.068	1739289261.222	02/11/2025_16:54:21.222	1	3	1.487077589e-05	3.523934993e-06	1.334263922e-09	1.5535076e-10	2.005364408e-08	4.431885081e-09	7.970922533e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
19.305	1739289261.459	02/11/2025_16:54:21.459	1	3	1.473925749e-05	3.486320111e-06	1.347110423e-09	1.557934337e-10	2.000091648e-08	4.414002941e-09	7.604696386e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
19.542	1739289261.696	02/11/2025_16:54:21.696	1	3	1.471512132e-05	3.433276106e-06	1.327838062e-09	1.580514886e-10	2.004038535e-08	4.419589583e-09	7.790226797e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
19.779	1739289261.933	02/11/2025_16:54:21.933	1	3	1.462089585e-05	3.480980467e-06	1.340290656e-09	1.546071882e-10	2.008814626e-08	4.427593847e-09	8.759232055e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
20.015	1739289262.169	02/11/2025_16:54:22.169	1	3	1.471867017e-05	3.438542535e-06	1.343771427e-09	1.586463599e-10	2.009308808e-08	4.448587276e-09	8.017051432e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
20.252	1739289262.406	02/11/2025_16:54:22.406	1	3	1.473749762e-05	3.530692993e-06	1.34547784e-09	1.566728552e-10	2.008768796e-08	4.41556125e-09	7.770011197e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
20.489	1739289262.643	02/11/2025_16:54:22.643	1	3	1.473413977e-05	3.4903303e-06	1.34993472e-09	1.580506975e-10	2.014765954e-08	4.45605286e-09	7.91416932e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
20.726	1739289262.880	02/11/2025_16:54:22.880	1	3	1.471989253e-05	3.470318461e-06	1.359103385e-09	1.577763337e-10	2.018290779e-08	4.462987313e-09	8.158280475e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
20.963	1739289263.117	02/11/2025_16:54:23.117	1	3	1.480195351e-05	3.454393891e-06	1.346123435e-09	1.570053393e-10	2.012623845e-08	4.446204738e-09	8.54791498e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
21.199	1739289263.353	02/11/2025_16:54:23.353	1	3	1.458059887e-05	3.463675739e-06	1.348486434e-09	1.572816599e-10	2.019001144e-08	4.470728232e-09	8.149387415e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
21.436	1739289263.590	02/11/2025_16:54:23.590	1	3	1.479284765e-05	3.437228997e-06	1.344385048e-09	1.558719265e-10	2.018329681e-08	4.455707359e-09	8.535501299e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
21.673	1739289263.827	02/11/2025_16:54:23.827	1	3	1.472052099e-05	3.472982826e-06	1.352841283e-09	1.562958374e-10	2.015192457e-08	4.421550237e-09	8.212945081e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
21.91	1739289264.064	02/11/2025_16:54:24.064	1	3	1.469148083e-05	3.451751127e-06	1.339614641e-09	1.578013692e-10	2.022911083e-08	4.488427408e-09	8.14891904e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
22.147	1739289264.301	02/11/2025_16:54:24.301	1	3	1.471946416e-05	3.474313871e-06	1.346223799e-09	1.576082737e-10	2.016589917e-08	4.456140346e-09	8.500592591e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
22.383	1739289264.537	02/11/2025_16:54:24.537	1	3	1.474148576e-05	3.458371111e-06	1.342394085e-09	1.577954573e-10	2.012000699e-08	4.435228185e-09	7.648422694e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
22.62	1739289264.774	02/11/2025_16:54:24.774	1	3	1.482137304e-05	3.488993116e-06	1.340785039e-09	1.560660906e-10	2.018406597e-08	4.464302705e-09	8.07981633e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
22.857	1739289265.011	02/11/2025_16:54:25.011	1	3	1.472451277e-05	3.491668167e-06	1.350448975e-09	1.585532261e-10	2.011826439e-08	4.41617809e-09	8.06396009e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
23.094	1739289265.248	02/11/2025_16:54:25.248	1	3	1.471575251e-05	3.457042112e-06	1.343770428e-09	1.572103836e-10	2.00886916e-08	4.436716772e-09	8.393649491e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
23.331	1739289265.485	02/11/2025_16:54:25.485	1	3	1.472846543e-05	3.454393891e-06	1.342671752e-09	1.559605362e-10	2.006029831e-08	4.448901247e-09	7.941034982e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
23.567	1739289265.721	02/11/2025_16:54:25.721	1	3	1.47375431e-05	3.41359123e-06	1.341129652e-09	1.553199791e-10	2.013417522e-08	4.46824977e-09	7.980458308e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
23.804	1739289265.958	02/11/2025_16:54:25.958	1	3	1.483859887e-05	3.421456086e-06	1.353313905e-09	1.544410017e-10	2.0089999e-08	4.423417188e-09	8.107409709e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
24.041	1739289266.195	02/11/2025_16:54:26.195	1	3	1.473530028e-05	3.410976433e-06	1.344219513e-09	1.560548635e-10	2.008495592e-08	4.414630883e-09	8.353242577e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
24.278	1739289266.432	02/11/2025_16:54:26.432	1	3	1.488174257e-05	3.446464689e-06	1.343848477e-09	1.591736742e-10	2.00949053e-08	4.434657086e-09	8.348264788e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
24.515	1739289266.669	02/11/2025_16:54:26.669	1	3	1.471327596e-05	3.463675739e-06	1.34475342e-09	1.576948433e-10	2.013890388e-08	4.451490287e-09	8.296336708e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
24.751	1739289266.905	02/11/2025_16:54:26.905	1	3	1.479591265e-05	3.461022516e-06	1.346652012e-09	1.586159259e-10	2.014917655e-08	4.461283787e-09	7.90242264e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
