PV MassSpec-24.10.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EXPORTED RUN DATA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Run Path and Name: C:\Pfeiffer Vacuum\data\007-30-2026\400c-100h-ch4.isi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/30/2026 12:18:36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SensorID:  RGA PrismaPro A 200 47505932;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39 Bins;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4157 TimePoints;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time Relative (sec);Time Absolute (UTC);Time Absolute (Date_Time);Step;Ionizer_State;Pressure_(mBar);External_Pressure_(mBar);12_amu_(Methane_/_CH4);13_amu_(Methane_/_CH4);14_amu_(Nitrogen_/_N2);15_amu_(Methane_/_CH4);16_amu_(Oxygen_/_O2);17_amu_(Water_/_H2O);18_amu_(Water_/_H2O);22_amu_(Carbon_dioxide_/_CO2);28_amu_(Nitrogen_/_N2);29_amu_(Nitrogen_/_N2);32_amu_(Oxygen_/_O2);44_amu_(Carbon_dioxide_/_CO2);45_amu_(Carbon_dioxide_/_CO2);Periph:_Digital_In_0;Periph:_Digital_In_1;Periph:_Digital_In_13;Periph:_Digital_In_14;Periph:_Digital_In_15;Periph:_Digital_In_16;Periph:_Digital_In_17;Periph:_Digital_Out_2;Periph:_Digital_Out_3;Periph:_Digital_Out_4;Periph:_Digital_Out_5;Periph:_Digital_Out_6;Periph:_Digital_Out_7;Periph:_Digital_Out_8;Periph:_Digital_Out_9;Periph:_Digital_Out_10;Periph:_Digital_Out_11;Sig:_MCD;Sig:_MCD_CH4;Sig:_MCD_CO2;Sig:_MCD_N2;Sig:_MCD_O2
22,317;1785406738,715;07/30/2026_12:18:58.715;1;3;3,14×10^-05;5,72×10^-06;3,97×10^-13;1,40×10^-12;2,24×10^-10;1,64×10^-11;9,53×10^-11;1,17×10^-12;3,65×10^-12;5,00×10^-15;1,42×10^-09;9,61×10^-12;3,30×10^-10;7,76×10^-14;5,00×10^-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9258313099;0,004736253538;77,50700792;21,56242452
24,183;1785406740,581;07/30/2026_12:19:00.581;1;3;3,14×10^-05;5,72×10^-06;4,27×10^-13;1,41×10^-12;2,23×10^-10;1,64×10^-11;9,56×10^-11;1,22×10^-12;3,61×10^-12;5,00×10^-15;1,42×10^-09;9,57×10^-12;3,29×10^-10;6,22×10^-14;6,29×10^-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,928600047;0,003744431843;77,50521267;21,56244286
26,05;1785406742,448;07/30/2026_12:19:02.448;1;3;3,15×10^-05;5,76×10^-06;4,13×10^-13;1,39×10^-12;2,23×10^-10;1,65×10^-11;9,56×10^-11;1,19×10^-12;3,63×10^-12;5,00×10^-15;1,42×10^-09;9,64×10^-12;3,30×10^-10;5,57×10^-14;3,29×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9288295862;0,003403526083;77,51853756;21,54922932
27,916;1785406744,314;07/30/2026_12:19:04.314;1;3;3,14×10^-05;5,76×10^-06;4,32×10^-13;1,37×10^-12;2,23×10^-10;1,63×10^-11;9,50×10^-11;1,21×10^-12;3,65×10^-12;5,00×10^-15;1,42×10^-09;9,55×10^-12;3,28×10^-10;7,95×10^-14;5,00×10^-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,921366412;0,004876964086;77,54715769;21,52659893
29,783;1785406746,181;07/30/2026_12:19:06.181;1;3;3,14×10^-05;5,74×10^-06;3,96×10^-13;1,39×10^-12;2,22×10^-10;1,64×10^-11;9,52×10^-11;1,17×10^-12;3,58×10^-12;5,00×10^-15;1,41×10^-09;9,54×10^-12;3,26×10^-10;1,00×10^-13;6,94×10^-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9318056374;0,00627596659;77,55635714;21,50556126
31,649;1785406748,047;07/30/2026_12:19:08.047;1;3;3,14×10^-05;5,72×10^-06;3,30×10^-13;1,39×10^-12;2,22×10^-10;1,63×10^-11;9,52×10^-11;1,16×10^-12;3,62×10^-12;5,00×10^-15;1,41×10^-09;9,57×10^-12;3,29×10^-10;8,23×10^-14;5,00×10^-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9251882398;0,005071910909;77,47534902;21,59439083
33,515;1785406749,913;07/30/2026_12:19:09.913;1;3;3,14×10^-05;5,71×10^-06;4,15×10^-13;1,38×10^-12;2,23×10^-10;1,63×10^-11;9,51×10^-11;1,19×10^-12;3,61×10^-12;5,00×10^-15;1,41×10^-09;9,50×10^-12;3,27×10^-10;4,46×10^-14;5,00×10^-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9271617299;0,002600702394;77,54507396;21,52516361
35,382;1785406751,78;07/30/2026_12:19:11.780;1;3;3,14×10^-05;5,65×10^-06;4,11×10^-13;1,43×10^-12;2,22×10^-10;1,64×10^-11;9,56×10^-11;1,13×10^-12;3,65×10^-12;5,00×10^-15;1,41×10^-09;9,67×10^-12;3,28×10^-10;4,65×10^-14;5,00×10^-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9313248431;0,00272997849;77,42838295;21,63756223
37,248;1785406753,646;07/30/2026_12:19:13.646;1;3;3,14×10^-05;5,77×10^-06;4,12×10^-13;1,50×10^-12;2,24×10^-10;1,64×10^-11;9,54×10^-11;1,19×10^-12;3,60×10^-12;5,00×10^-15;1,42×10^-09;9,59×10^-12;3,28×10^-10;1,06×10^-13;5,00×10^-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9259930644;0,006646024113;77,53986373;21,52749718
39,115;1785406755,513;07/30/2026_12:19:15.513;1;3;3,14×10^-05;5,74×10^-06;4,11×10^-13;1,45×10^-12;2,24×10^-10;1,64×10^-11;9,57×10^-11;1,18×10^-12;3,61×10^-12;5,00×10^-15;1,42×10^-09;9,60×10^-12;3,28×10^-10;9,78×10^-14;5,00×10^-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9292755316;0,006084323307;77,49144236;21,57319779
40,981;1785406757,379;07/30/2026_12:19:17.379;1;3;3,14×10^-05;5,79×10^-06;4,23×10^-13;1,44×10^-12;2,23×10^-10;1,65×10^-11;9,57×10^-11;1,16×10^-12;3,65×10^-12;5,00×10^-15;1,42×10^-09;9,75×10^-12;3,31×10^-10;5,00×10^-15;1,10×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9321948524;2,17×10^-05;77,42203819;21,64574527
42,847;1785406759,245;07/30/2026_12:19:19.245;1;3;3,14×10^-05;5,78×10^-06;5,03×10^-13;1,40×10^-12;2,23×10^-10;1,63×10^-11;9,51×10^-11;1,21×10^-12;3,59×10^-12;5,00×10^-15;1,41×10^-09;9,47×10^-12;3,27×10^-10;6,31×10^-14;5,00×10^-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9237851933;0,003813023275;77,55741165;21,51499013
44,714;1785406761,112;07/30/2026_12:19:21.112;1;3;3,14×10^-05;5,70×10^-06;3,98×10^-13;1,38×10^-12;2,22×10^-10;1,63×10^-11;9,50×10^-11;1,18×10^-12;3,57×10^-12;5,00×10^-15;1,41×10^-09;9,49×10^-12;3,27×10^-10;4,01×10^-14;1,65×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9278698831;0,002354289351;77,45765022;21,6121256
46,58;1785406762,978;07/30/2026_12:19:22.978;1;3;3,15×10^-05;5,72×10^-06;4,70×10^-13;1,40×10^-12;2,23×10^-10;1,62×10^-11;9,53×10^-11;1,18×10^-12;3,57×10^-12;5,00×10^-15;1,41×10^-09;9,58×10^-12;3,28×10^-10;4,93×10^-14;5,00×10^-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9203514947;0,002909301547;77,48998722;21,58675198
48,447;1785406764,845;07/30/2026_12:19:24.845;1;3;3,15×10^-05;5,75×10^-06;4,18×10^-13;1,38×10^-12;2,23×10^-10;1,64×10^-11;9,56×10^-11;1,16×10^-12;3,75×10^-12;5,00×10^-15;1,43×10^-09;9,63×10^-12;3,30×10^-10;9,40×10^-14;3,96×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9233637753;0,0059206863;77,51843009;21,55228544
50,313;1785406766,711;07/30/2026_12:19:26.711;1;3;3,14×10^-05;5,77×10^-06;4,42×10^-13;1,48×10^-12;2,23×10^-10;1,64×10^-11;9,51×10^-11;1,25×10^-12;3,61×10^-12;5,00×10^-15;1,42×10^-09;9,63×10^-12;3,29×10^-10;5,85×10^-14;4,60×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9251059613;0,003653622199;77,5181957;21,55304472
52,179;1785406768,577;07/30/2026_12:19:28.577;1;3;3,14×10^-05;5,73×10^-06;4,17×10^-13;1,39×10^-12;2,23×10^-10;1,63×10^-11;9,44×10^-11;1,22×10^-12;3,59×10^-12;5,00×10^-15;1,41×10^-09;9,54×10^-12;3,26×10^-10;1,21×10^-13;6,45×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9293963391;0,007869300007;77,477429;21,58530536
54,046;1785406770,444;07/30/2026_12:19:30.444;1;3;3,14×10^-05;5,74×10^-06;4,38×10^-13;1,46×10^-12;2,23×10^-10;1,64×10^-11;9,50×10^-11;1,21×10^-12;3,60×10^-12;5,00×10^-15;1,41×10^-09;9,50×10^-12;3,30×10^-10;1,97×10^-14;3,71×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9302637876;0,001082891286;77,3536094;21,71504392
55,912;1785406772,31;07/30/2026_12:19:32.310;1;3;3,14×10^-05;5,72×10^-06;4,67×10^-13;1,41×10^-12;2,22×10^-10;1,64×10^-11;9,53×10^-11;1,17×10^-12;3,61×10^-12;5,00×10^-15;1,41×10^-09;9,61×10^-12;3,27×10^-10;1,19×10^-13;5,00×10^-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9320911209;0,007505700963;77,49698074;21,56342244
57,779;1785406774,177;07/30/2026_12:19:34.177;1;3;3,16×10^-05;5,76×10^-06;4,64×10^-13;1,43×10^-12;2,22×10^-10;1,64×10^-11;9,50×10^-11;1,20×10^-12;3,63×10^-12;5,00×10^-15;1,41×10^-09;9,56×10^-12;3,27×10^-10;1,33×10^-13;4,46×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9310862736;0,008603897193;77,48775726;21,57255256
59,645;1785406776,043;07/30/2026_12:19:36.043;1;3;3,15×10^-05;5,76×10^-06;4,74×10^-13;1,44×10^-12;2,22×10^-10;1,64×10^-11;9,52×10^-11;1,23×10^-12;3,60×10^-12;5,00×10^-15;1,41×10^-09;9,64×10^-12;3,27×10^-10;1,57×10^-13;5,18×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9305338284;0,01016969654;77,50573226;21,55356421
61,511;1785406777,909;07/30/2026_12:19:37.909;1;3;3,16×10^-05;5,72×10^-06;4,81×10^-13;1,40×10^-12;2,22×10^-10;1,62×10^-11;9,50×10^-11;1,24×10^-12;3,66×10^-12;5,00×10^-15;1,41×10^-09;9,47×10^-12;3,26×10^-10;8,85×10^-14;7,68×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9269549977;0,005773649382;77,50070092;21,56657043
63,378;1785406779,776;07/30/2026_12:19:39.776;1;3;3,15×10^-05;5,75×10^-06;4,90×10^-13;1,39×10^-12;2,22×10^-10;1,63×10^-11;9,47×10^-11;1,20×10^-12;3,63×10^-12;5,00×10^-15;1,40×10^-09;9,60×10^-12;3,26×10^-10;9,71×10^-14;5,00×10^-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9289521987;0,006084884753;77,46791941;21,59704351
65,244;1785406781,642;07/30/2026_12:19:41.642;1;3;3,14×10^-05;5,74×10^-06;4,61×10^-13;1,40×10^-12;2,23×10^-10;1,64×10^-11;9,53×10^-11;1,18×10^-12;3,53×10^-12;5,00×10^-15;1,41×10^-09;9,52×10^-12;3,27×10^-10;6,26×10^-14;1,11×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9348788939;0,003820822422;77,43485415;21,62644613
67,111;1785406783,509;07/30/2026_12:19:43.509;1;3;3,15×10^-05;5,72×10^-06;4,30×10^-13;1,43×10^-12;2,23×10^-10;1,63×10^-11;9,47×10^-11;1,13×10^-12;3,57×10^-12;5,00×10^-15;1,41×10^-09;9,60×10^-12;3,27×10^-10;1,32×10^-13;1,00×10^-13;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9306014582;0,008731425291;77,48916787;21,57149925
68,977;1785406785,375;07/30/2026_12:19:45.375;1;3;3,15×10^-05;5,74×10^-06;3,93×10^-13;1,37×10^-12;2,21×10^-10;1,61×10^-11;9,40×10^-11;1,09×10^-12;3,52×10^-12;5,00×10^-15;1,40×10^-09;9,70×10^-12;3,28×10^-10;1,19×10^-13;5,00×10^-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9256905566;0,007535199934;77,3198808;21,74689345
70,843;1785406787,241;07/30/2026_12:19:47.241;1;3;3,14×10^-05;5,76×10^-06;4,40×10^-13;1,41×10^-12;2,21×10^-10;1,63×10^-11;9,45×10^-11;1,14×10^-12;3,64×10^-12;5,00×10^-15;1,41×10^-09;9,60×10^-12;3,27×10^-10;1,24×10^-13;7,62×10^-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9255118395;0,007820674194;77,510177;21,55649048
72,71;1785406789,108;07/30/2026_12:19:49.108;1;3;3,13×10^-05;5,69×10^-06;4,50×10^-13;1,39×10^-12;2,22×10^-10;1,63×10^-11;9,51×10^-11;1,16×10^-12;3,61×10^-12;5,00×10^-15;1,40×10^-09;9,56×10^-12;3,26×10^-10;1,06×10^-13;2,74×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9297122782;0,006769692508;77,48012706;21,58339097
74,576;1785406790,974;07/30/2026_12:19:50.974;1;3;3,14×10^-05;5,73×10^-06;4,52×10^-13;1,38×10^-12;2,22×10^-10;1,61×10^-11;9,37×10^-11;1,19×10^-12;3,57×10^-12;5,00×10^-15;1,40×10^-09;9,53×10^-12;3,24×10^-10;1,41×10^-13;2,04×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9217021641;0,009092534175;77,52812087;21,54108443
76,443;1785406792,841;07/30/2026_12:19:52.841;1;3;3,13×10^-05;5,78×10^-06;4,86×10^-13;1,42×10^-12;2,20×10^-10;1,62×10^-11;9,40×10^-11;1,14×10^-12;3,53×10^-12;5,00×10^-15;1,41×10^-09;9,56×10^-12;3,25×10^-10;1,31×10^-13;5,00×10^-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9236918171;0,008348201166;77,5887539;21,47920608
78,309;1785406794,707;07/30/2026_12:19:54.707;1;3;3,14×10^-05;5,67×10^-06;4,39×10^-13;1,42×10^-12;2,21×10^-10;1,62×10^-11;9,42×10^-11;1,14×10^-12;3,59×10^-12;5,00×10^-15;1,40×10^-09;9,55×10^-12;3,24×10^-10;1,09×10^-13;5,00×10^-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9302734752;0,006872987384;77,52236815;21,54048539
80,175;1785406796,573;07/30/2026_12:19:56.573;1;3;3,13×10^-05;5,70×10^-06;5,00×10^-13;1,46×10^-12;2,22×10^-10;1,63×10^-11;9,49×10^-11;1,16×10^-12;3,56×10^-12;5,00×10^-15;1,41×10^-09;9,64×10^-12;3,26×10^-10;7,53×10^-14;4,33×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9294614099;0,004777755643;77,52302164;21,54273919
82,042;1785406798,44;07/30/2026_12:19:58.440;1;3;3,13×10^-05;5,74×10^-06;4,38×10^-13;1,44×10^-12;2,21×10^-10;1,63×10^-11;9,44×10^-11;1,19×10^-12;3,58×10^-12;5,00×10^-15;1,40×10^-09;9,53×10^-12;3,25×10^-10;1,36×10^-13;1,94×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9369319902;0,008732827437;77,45587759;21,59845759
83,908;1785406800,306;07/30/2026_12:20:00.306;1;3;3,13×10^-05;5,72×10^-06;4,59×10^-13;1,41×10^-12;2,21×10^-10;1,63×10^-11;9,44×10^-11;1,13×10^-12;3,59×10^-12;5,00×10^-15;1,39×10^-09;9,49×10^-12;3,24×10^-10;8,37×10^-14;7,58×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9383374725;0,005512503607;77,41264269;21,64350734
85,775;1785406802,173;07/30/2026_12:20:02.173;1;3;3,13×10^-05;5,74×10^-06;4,42×10^-13;1,41×10^-12;2,21×10^-10;1,62×10^-11;9,42×10^-11;1,11×10^-12;3,58×10^-12;5,00×10^-15;1,40×10^-09;9,52×10^-12;3,23×10^-10;1,17×10^-13;2,33×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,929227647;0,007489801439;77,52345231;21,53983024
87,641;1785406804,039;07/30/2026_12:20:04.039;1;3;3,12×10^-05;5,67×10^-06;5,13×10^-13;1,43×10^-12;2,20×10^-10;1,63×10^-11;9,44×10^-11;1,15×10^-12;3,58×10^-12;5,00×10^-15;1,40×10^-09;9,54×10^-12;3,26×10^-10;3,71×10^-14;2,05×10^-13;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9371826299;0,002865285084;77,42364376;21,63630833
89,507;1785406805,905;07/30/2026_12:20:05.905;1;3;3,13×10^-05;5,80×10^-06;4,26×10^-13;1,42×10^-12;2,22×10^-10;1,63×10^-11;9,53×10^-11;1,15×10^-12;3,62×10^-12;5,00×10^-15;1,40×10^-09;9,46×10^-12;3,25×10^-10;1,15×10^-13;5,46×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9338128902;0,007506496086;77,44844602;21,61023459
91,374;1785406807,772;07/30/2026_12:20:07.772;1;3;3,14×10^-05;5,73×10^-06;4,04×10^-13;1,41×10^-12;2,21×10^-10;1,63×10^-11;9,46×10^-11;1,18×10^-12;3,55×10^-12;5,00×10^-15;1,40×10^-09;9,55×10^-12;3,25×10^-10;1,32×10^-13;2,35×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,934099753;0,008523782876;77,44607265;21,61130382
93,24;1785406809,638;07/30/2026_12:20:09.638;1;3;3,13×10^-05;5,72×10^-06;4,46×10^-13;1,35×10^-12;2,21×10^-10;1,62×10^-11;9,44×10^-11;1,18×10^-12;3,58×10^-12;5,00×10^-15;1,40×10^-09;9,50×10^-12;3,24×10^-10;1,11×10^-13;4,18×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9312356606;0,007171365084;77,51193967;21,5496533
95,107;1785406811,505;07/30/2026_12:20:11.505;1;3;3,12×10^-05;5,76×10^-06;5,06×10^-13;1,39×10^-12;2,21×10^-10;1,61×10^-11;9,34×10^-11;1,16×10^-12;3,59×10^-12;5,00×10^-15;1,39×10^-09;9,41×10^-12;3,22×10^-10;6,29×10^-14;5,20×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9252932843;0,004028817682;77,55873241;21,51194549
96,973;1785406813,371;07/30/2026_12:20:13.371;1;3;3,13×10^-05;5,73×10^-06;3,98×10^-13;1,41×10^-12;2,19×10^-10;1,61×10^-11;9,37×10^-11;1,14×10^-12;3,64×10^-12;5,00×10^-15;1,39×10^-09;9,46×10^-12;3,24×10^-10;2,82×10^-14;5,06×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9265347007;0,001718430978;77,41115676;21,66059011
98,839;1785406815,237;07/30/2026_12:20:15.237;1;3;3,13×10^-05;5,74×10^-06;4,05×10^-13;1,39×10^-12;2,20×10^-10;1,61×10^-11;9,41×10^-11;1,15×10^-12;3,61×10^-12;5,00×10^-15;1,40×10^-09;9,53×10^-12;3,26×10^-10;2,41×10^-14;5,00×10^-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9237427897;0,001264088331;77,46414529;21,61084783
