PV MassSpec-24.10.00
EXPORTED RUN DATA
Run Path and Name: C:\Pfeiffer Vacuum\data\006-24-2026\exsample.isi
06/24/2026 13:25:54
SensorID:  RGA PrismaPro A 200 47505932
38 Bins
250 TimePoints

Time Relative (sec)	Time Absolute (UTC)	Time Absolute (Date_Time)	Step	Ionizer_State	Pressure_(mBar)	External_Pressure_(mBar)	12_amu_(Methane_/_CH4)	13_amu_(Methane_/_CH4)	14_amu_(Nitrogen_/_N2)	15_amu_(Methane_/_CH4)	16_amu_(Oxygen_/_O2)	17_amu_(Water_/_H2O)	18_amu_(Water_/_H2O)	22_amu_(Carbon_dioxide_/_CO2)	28_amu_(Nitrogen_/_N2)	29_amu_(Nitrogen_/_N2)	32_amu_(Oxygen_/_O2)	44_amu_(Carbon_dioxide_/_CO2)	45_amu_(Carbon_dioxide_/_CO2)	Periph:_Digital_In_0	Periph:_Digital_In_1	Periph:_Digital_In_13	Periph:_Digital_In_14	Periph:_Digital_In_15	Periph:_Digital_In_16	Periph:_Digital_In_17	Periph:_Digital_Out_2	Periph:_Digital_Out_3	Periph:_Digital_Out_4	Periph:_Digital_Out_5	Periph:_Digital_Out_6	Periph:_Digital_Out_7	Periph:_Digital_Out_8	Periph:_Digital_Out_9	Periph:_Digital_Out_10	Periph:_Digital_Out_11	Sig:_MCD	Sig:_MCD_CO2	Sig:_MCD_N2	Sig:_MCD_O2
22.109	1782300376.989	06/24/2026_13:26:16.989	1	3	2.598843457e-05	4.256881766e-06	1.675001216e-14	3.712064293e-14	1.494326052e-10	4.356840409e-13	5.253950747e-11	2.996114858e-12	1.110188677e-11	9.933968524e-14	9.735411366e-10	6.875802011e-12	2.250380854e-10	4.435057465e-13	4.999999912e-15	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.089340854e-07	0.04238387955	78.46213888	21.49547724
23.975	1782300378.855	06/24/2026_13:26:18.855	1	3	2.603314897e-05	4.240600902e-06	7.873157692e-14	2.04990613e-14	1.487739792e-10	4.362749853e-13	5.19110345e-11	2.809335663e-12	1.017530418e-11	9.776807321e-14	9.684170132e-10	6.846758837e-12	2.238266517e-10	4.382144875e-13	4.999999912e-15	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.071193442e-07	0.04209808329	78.47064871	21.48725321
25.842	1782300380.722	06/24/2026_13:26:20.722	1	3	2.591449265e-05	4.238971542e-06	7.68349143e-14	4.999999912e-15	1.482128448e-10	4.044495858e-13	5.204542006e-11	2.689369344e-12	9.906302341e-12	1.374848179e-13	9.748510887e-10	6.896933979e-12	2.253448123e-10	4.753307123e-13	4.999999912e-15	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.529802907e-07	0.04541023781	78.46511931	21.48947045
27.708	1782300382.588	06/24/2026_13:26:22.588	1	3	2.594428588e-05	4.2341062e-06	6.468022868e-14	4.170104136e-14	1.488326684e-10	4.732358711e-13	5.195307379e-11	2.620973534e-12	9.626454148e-12	1.383888663e-13	9.701344172e-10	6.809800553e-12	2.23669458e-10	4.651194252e-13	4.999999912e-15	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.540241959e-07	0.04465631208	78.50860798	21.44673571
29.575	1782300384.455	06/24/2026_13:26:24.455	1	3	2.588086318e-05	4.258517492e-06	5.247925439e-14	8.231237821e-14	1.478241141e-10	4.243597661e-13	5.166726422e-11	2.532375351e-12	9.342155521e-12	1.105843458e-13	9.644237631e-10	6.809352127e-12	2.23240898e-10	4.223644817e-13	4.999999912e-15	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.21918301e-07	0.04071595219	78.44720599	21.51207806
31.441	1782300386.321	06/24/2026_13:26:26.321	1	3	2.592727651e-05	4.22437779e-06	9.73499032e-14	6.006547798e-14	1.466079064e-10	5.263956046e-13	5.191211003e-11	2.490697752e-12	9.064944975e-12	8.039628127e-14	9.599749884e-10	6.833071001e-12	2.229524204e-10	4.168880681e-13	3.343032367e-14	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	8.706012667e-08	0.04049327769	78.38446681	21.57503991
33.307	1782300388.187	06/24/2026_13:26:28.187	1	3	2.587346899e-05	4.279788755e-06	9.729962333e-14	2.302148814e-14	1.46963941e-10	4.571807885e-13	5.10772119e-11	2.432888743e-12	8.933236963e-12	1.321666572e-13	9.6170516e-10	6.834139157e-12	2.21603888e-10	4.269334452e-13	4.999999912e-15	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.468394076e-07	0.0413224731	78.52598641	21.43269112
35.174	1782300390.054	06/24/2026_13:26:30.054	1	3	2.599663458e-05	4.263420578e-06	9.544077226e-14	3.86220461e-14	1.462035909e-10	5.402771871e-13	5.151566326e-11	2.38761246e-12	8.687815224e-12	9.828429574e-14	9.530282119e-10	6.800855452e-12	2.212686978e-10	4.786237053e-13	1.297058503e-14	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.077154266e-07	0.04676432464	78.38699134	21.56624434
37.04	1782300391.920	06/24/2026_13:26:31.920	1	3	2.585738912e-05	4.237347639e-06	1.001102955e-13	7.311273304e-14	1.459904281e-10	4.579404347e-13	5.116423604e-11	2.3541774e-12	8.607443751e-12	1.015360349e-13	9.492897579e-10	6.792601204e-12	2.185749221e-10	4.674467736e-13	8.886500476e-15	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.114702116e-07	0.04589755429	78.52494104	21.42916141
38.907	1782300393.787	06/24/2026_13:26:33.787	1	3	2.580807814e-05	4.306118171e-06	1.197929288e-13	7.023436601e-14	1.451774673e-10	4.244404307e-13	5.059228383e-11	2.301844045e-12	8.429642401e-12	1.339229563e-13	9.466784023e-10	6.770232378e-12	2.182762165e-10	4.900604662e-13	4.443952598e-14	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.488674071e-07	0.04846163545	78.50702898	21.44450938
40.773	1782300395.653	06/24/2026_13:26:35.653	1	3	2.576749466e-05	4.320998869e-06	1.553698576e-13	3.674627809e-14	1.446841535e-10	4.591690526e-13	5.037196354e-11	2.285914947e-12	8.300574637e-12	1.34517343e-13	9.435865422e-10	6.713558095e-12	2.166777452e-10	4.906389964e-13	1.502160077e-14	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.495537458e-07	0.04855709664	78.57332591	21.37811699
42.639	1782300397.519	06/24/2026_13:26:37.519	1	3	2.577647501e-05	4.247105608e-06	1.351321399e-13	8.466155972e-14	1.444134257e-10	4.741886137e-13	5.0059068e-11	2.230523275e-12	8.222200698e-12	5.840873575e-14	9.423787306e-10	6.691989844e-12	2.162165585e-10	5.327556972e-13	1.730506607e-14	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	6.167109602e-08	0.05285405594	78.58761792	21.35952802
44.506	1782300399.386	06/24/2026_13:26:39.386	1	3	2.575665349e-05	4.245478522e-06	1.412916279e-13	1.099053235e-13	1.442098385e-10	4.426495249e-13	4.986460897e-11	2.2117321e-12	8.198764584e-12	8.114349985e-14	9.447448379e-10	6.7110692e-12	2.161115176e-10	4.809135945e-13	1.639954042e-14	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	8.792294037e-08	0.04758228282	78.64351805	21.30889967
46.372	1782300401.252	06/24/2026_13:26:41.252	1	3	2.578126441e-05	4.276510026e-06	1.484551956e-13	6.723949468e-14	1.443292291e-10	5.181691664e-13	5.007283477e-11	2.19711532e-12	8.089651345e-12	1.23369251e-13	9.416649682e-10	6.711780003e-12	2.155858408e-10	4.859584957e-13	2.026955264e-14	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.36681038e-07	0.04824917962	78.62504423	21.32670659
48.239	1782300403.119	06/24/2026_13:26:43.119	1	3	2.568271702e-05	4.211443411e-06	1.899023473e-13	1.161419593e-13	1.438979214e-10	4.386590104e-13	4.958564115e-11	2.109317495e-12	7.859779667e-12	1.356364158e-13	9.362548514e-10	6.656397222e-12	2.141922056e-10	4.959914857e-13	2.434070469e-14	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.508459398e-07	0.04956813709	78.64026479	21.31016707
50.105	1782300404.985	06/24/2026_13:26:44.985	1	3	2.578595377e-05	4.222759344e-06	1.622193048e-13	1.044407887e-13	1.43181425e-10	5.257046426e-13	4.97153603e-11	2.146517556e-12	7.749047064e-12	1.710963727e-13	9.381249111e-10	6.720371655e-12	2.145095768e-10	4.976078685e-13	5.095941979e-14	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.917915711e-07	0.04979064255	78.64506547	21.30514389
51.971	1782300406.851	06/24/2026_13:26:46.851	1	3	2.560546636e-05	4.251995506e-06	1.442083215e-13	1.121449938e-13	1.434252994e-10	4.301657771e-13	4.931567307e-11	2.064893829e-12	7.582067786e-12	9.938894868e-14	9.311735272e-10	6.62962827e-12	2.128490717e-10	5.169967644e-13	2.946372597e-14	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.0899097e-07	0.05200113209	78.65292953	21.29506934
53.838	1782300408.718	06/24/2026_13:26:48.718	1	3	2.562418013e-05	4.258517492e-06	1.47570568e-13	1.074227106e-13	1.425102397e-10	4.276737384e-13	4.916056104e-11	2.065874598e-12	7.475456885e-12	1.028706878e-13	9.284803482e-10	6.65303793e-12	2.118334119e-10	4.825330673e-13	4.609974783e-14	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.13011336e-07	0.04876796844	78.68457273	21.2666593
55.704	1782300410.584	06/24/2026_13:26:50.584	1	3	2.560572102e-05	4.204993274e-06	1.168946396e-13	1.472614348e-13	1.425320417e-10	4.68846587e-13	4.91094318e-11	2.009316324e-12	7.362925374e-12	1.162056698e-13	9.267584478e-10	6.628909227e-12	2.113893366e-10	4.961149221e-13	1.250462543e-14	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.284092468e-07	0.05005209704	78.68755763	21.26239027
57.571	1782300412.451	06/24/2026_13:26:52.451	1	3	2.560361645e-05	4.217907644e-06	1.593449222e-13	6.484350275e-14	1.415230433e-10	4.302285253e-13	4.89269944e-11	1.984995501e-12	7.33849613e-12	9.858348811e-14	9.190356809e-10	6.610001175e-12	2.108033192e-10	4.867007405e-13	4.796953579e-14	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.080609042e-07	0.04964847816	78.59536935	21.35498217
59.437	1782300414.317	06/24/2026_13:26:54.317	1	3	2.561101428e-05	4.229236765e-06	1.868278481e-13	7.850308131e-14	1.41517964e-10	4.28212858e-13	4.898925016e-11	1.911095414e-12	7.163475542e-12	1.08499486e-13	9.232878351e-10	6.569931665e-12	2.101230301e-10	4.576875445e-13	5.057759428e-14	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.195109123e-07	0.0465532174	78.72400946	21.22943732
61.303	1782300416.183	06/24/2026_13:26:56.183	1	3	2.568781929e-05	4.276510026e-06	1.386830646e-13	8.852311516e-14	1.411353256e-10	4.133181698e-13	4.859478098e-11	1.92243335e-12	7.087617385e-12	1.243021528e-13	9.185321947e-10	6.59467923e-12	2.094714818e-10	4.446845724e-13	3.87494839e-14	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.377582601e-07	0.04537185522	78.69576055	21.2588676
63.17	1782300418.050	06/24/2026_13:26:58.050	1	3	2.557732114e-05	4.242226169e-06	1.568652841e-13	8.440319434e-14	1.409426048e-10	4.358413858e-13	4.849558602e-11	1.891240203e-12	7.017948288e-12	1.110343507e-13	9.185944783e-10	6.524712194e-12	2.091165713e-10	4.908440191e-13	2.722205667e-14	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.224379219e-07	0.05006400263	78.72143025	21.22850575
65.036	1782300419.916	06/24/2026_13:26:59.916	1	3	2.561694237e-05	4.251995506e-06	1.174566629e-13	1.034262397e-13	1.417169576e-10	4.224386411e-13	4.887905705e-11	1.883222311e-12	6.946230049e-12	6.918844295e-14	9.178912075e-10	6.494252618e-12	2.095574825e-10	4.63920677e-13	2.291943084e-14	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	7.411842974e-08	0.04727258192	78.67283836	21.27988906
66.903	1782300421.783	06/24/2026_13:27:01.783	1	3	2.561643305e-05	4.268320026e-06	1.477741676e-13	9.276351117e-14	1.409642403e-10	4.143446925e-13	4.839422613e-11	1.808683303e-12	6.848732085e-12	8.863363602e-14	9.158669934e-10	6.536900361e-12	2.084441092e-10	4.812431378e-13	2.366664942e-14	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	9.657180464e-08	0.04920301374	78.72658983	21.22420715
68.769	1782300423.649	06/24/2026_13:27:03.649	1	3	2.561990914e-05	4.213057309e-06	1.375734379e-13	6.572064941e-14	1.405578431e-10	4.244787302e-13	4.839198486e-11	1.861518318e-12	6.775423972e-12	7.829349826e-14	9.101617793e-10	6.493309362e-12	2.079868083e-10	4.753674125e-13	2.433024214e-14	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	8.4632042e-08	0.04886012568	78.65844568	21.29269419
70.635	1782300425.515	06/24/2026_13:27:05.515	1	3	2.562718691e-05	4.273229479e-06	1.392699703e-13	1.093811118e-13	1.400664584e-10	4.189469952e-13	4.827151873e-11	1.875361628e-12	6.617736307e-12	6.491220728e-14	9.074722085e-10	6.463344616e-12	2.07391021e-10	4.795331883e-13	2.417094235e-14	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	6.918065811e-08	0.04943637962	78.65604588	21.29451774
72.502	1782300427.382	06/24/2026_13:27:07.382	1	3	2.564755596e-05	4.227616955e-06	1.612674837e-13	1.218922424e-13	1.40247633e-10	3.989049217e-13	4.820164753e-11	1.81536253e-12	6.735776433e-12	1.107212331e-13	9.181360117e-10	6.558808184e-12	2.092380991e-10	4.704669271e-13	3.019053445e-14	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.220763648e-07	0.04800761022	78.70892743	21.24306496
74.368	1782300429.248	06/24/2026_13:27:09.248	1	3	2.561815745e-05	4.276510026e-06	1.144797419e-13	6.9867472e-14	1.410235956e-10	4.474190658e-13	4.845689128e-11	1.764831445e-12	6.533829033e-12	9.083547445e-14	9.127592016e-10	6.500813776e-12	2.076323002e-10	4.795182806e-13	2.497242864e-14	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	9.911426866e-08	0.04919906359	78.73216286	21.21863807
76.235	1782300431.115	06/24/2026_13:27:11.115	1	3	2.557687003e-05	4.324311703e-06	1.140232386e-13	1.038040774e-13	1.404018291e-10	4.51327452e-13	4.825673888e-11	1.755629171e-12	6.358575125e-12	8.020361854e-14	9.070967866e-10	6.418979064e-12	2.070080773e-10	4.807264612e-13	5.405832371e-14	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	8.683765892e-08	0.04976468315	78.67966855	21.27056677
78.101	1782300432.981	06/24/2026_13:27:12.981	1	3	2.556147047e-05	4.260149581e-06	1.523281826e-13	8.681559838e-14	1.39715739e-10	4.290581562e-13	4.828402955e-11	1.709648048e-12	6.490346888e-12	4.591903504e-14	9.081231322e-10	6.432535928e-12	2.066977284e-10	4.753510953e-13	1.037894542e-14	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	4.724923189e-08	0.04893080776	78.72040528	21.23066391
79.967	1782300434.847	06/24/2026_13:27:14.847	1	3	2.55192972e-05	4.283070211e-06	1.259061215e-13	1.034127889e-13	1.399244887e-10	3.94161239e-13	4.827500552e-11	1.73476782e-12	6.33586586e-12	1.159736912e-13	9.097091969e-10	6.508652558e-12	2.065552313e-10	4.751578905e-13	4.999999912e-15	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.28141381e-07	0.04881970264	78.76073706	21.19044323
81.834	1782300436.714	06/24/2026_13:27:16.714	1	3	2.556082472e-05	4.206604899e-06	1.547834262e-13	1.349424858e-13	1.393326149e-10	4.084465784e-13	4.807438822e-11	1.710434528e-12	6.340927783e-12	7.416112944e-14	9.067903095e-10	6.458152589e-12	2.065699972e-10	5.16309326e-13	5.49016331e-14	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	7.98603935e-08	0.05351507481	78.7052911	21.24119383
83.7	1782300438.580	06/24/2026_13:27:18.580	1	3	2.551834223e-05	4.279788755e-06	1.342390554e-13	1.393207652e-13	1.397229416e-10	3.978665271e-13	4.831377312e-11	1.684517543e-12	6.307683976e-12	1.082251828e-13	9.060688311e-10	6.50503696e-12	2.06830747e-10	6.026759495e-13	4.999999912e-15	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.191941743e-07	0.06222882932	78.66207575	21.27569542
85.567	1782300440.447	06/24/2026_13:27:20.447	1	3	2.551566104e-05	4.299513876e-06	1.976085447e-13	1.028204011e-13	1.393727772e-10	4.18997275e-13	4.782324189e-11	1.705401662e-12	6.211608485e-12	8.98254046e-14	9.019877067e-10	6.395402003e-12	2.056337323e-10	4.970150268e-13	4.898059836e-14	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	9.794794046e-08	0.05173470738	78.69672586	21.25153944
87.433	1782300442.313	06/24/2026_13:27:22.313	1	3	2.546695941e-05	4.261782578e-06	1.391480247e-13	1.347592827e-13	1.389454662e-10	4.213141338e-13	4.788439784e-11	1.653428696e-12	6.168651527e-12	7.375889043e-14	8.980023392e-10	6.407169066e-12	2.049597853e-10	5.766844792e-13	5.929833041e-14	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	7.93959279e-08	0.06037329213	78.66744566	21.27218105
89.299	1782300444.179	06/24/2026_13:27:24.179	1	3	2.547477015e-05	4.36594155e-06	1.372647791e-13	8.868590134e-14	1.378978182e-10	4.333696759e-13	4.763317865e-11	1.655603606e-12	6.11994613e-12	8.554368693e-14	8.960019948e-10	6.332102811e-12	2.046184888e-10	5.007501575e-13	3.94897331e-14	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	9.300383877e-08	0.05240285772	78.66538634	21.2822108
91.166	1782300446.046	06/24/2026_13:27:26.046	1	3	2.557624975e-05	4.294578503e-06	1.446339522e-13	1.028452836e-13	1.378550746e-10	4.263181334e-13	4.760727229e-11	1.616420864e-12	6.025908071e-12	4.414679817e-14	8.915301275e-10	6.335123398e-12	2.039789726e-10	5.123048795e-13	5.961892899e-14	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	4.520282902e-08	0.05397838858	78.6323875	21.31363411
93.032	1782300447.912	06/24/2026_13:27:27.912	1	3	2.551556827e-05	4.296224688e-06	1.484711198e-13	1.064873084e-13	1.383229919e-10	3.963277189e-13	4.780751836e-11	1.589337928e-12	5.996881811e-12	2.731862859e-14	8.930602369e-10	6.311002936e-12	2.043743091e-10	4.485824689e-13	5.619594349e-14	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2.577133255e-08	0.04713563445	78.63266745	21.32019692
94.899	1782300449.779	06/24/2026_13:27:29.779	1	3	2.543995288e-05	4.258517492e-06	1.353646064e-13	8.693309879e-14	1.370189934e-10	4.162483346e-13	4.754816332e-11	1.583662671e-12	5.970436819e-12	3.73864622e-14	8.89919749e-10	6.340640686e-12	2.03409109e-10	4.802435576e-13	7.836667513e-14	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3.739666544e-08	0.05080423775	78.64863856	21.30055721
96.765	1782300451.645	06/24/2026_13:27:31.645	1	3	2.540415335e-05	4.292928679e-06	1.43640308e-13	1.134726536e-13	1.37033232e-10	3.896052589e-13	4.757323702e-11	1.564522708e-12	5.857022766e-12	5.761209787e-15	8.867975798e-10	6.251009693e-12	2.035726449e-10	4.805183486e-13	4.191857636e-14	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	8.789694525e-10	0.05074811149	78.57768924	21.37156265
98.631	1782300453.511	06/24/2026_13:27:33.511	1	3	2.534339001e-05	4.256881766e-06	1.361377238e-13	8.307850257e-14	1.365547259e-10	3.949980534e-13	4.742198995e-11	1.525474517e-12	5.833529406e-12	4.999999912e-15	8.858692113e-10	6.25932986e-12	2.035444868e-10	4.696943247e-13	1.067614642e-14	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0.04946090208	78.56509601	21.38544309
100.498	1782300455.378	06/24/2026_13:27:35.378	1	3	2.534242412e-05	4.247105608e-06	1.234956825e-13	9.657379741e-14	1.367853053e-10	4.199710241e-13	4.739984447e-11	1.570112963e-12	5.811322343e-12	4.999999912e-15	8.802960583e-10	6.267982227e-12	2.03114886e-10	4.631495925e-13	1.326727272e-14	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0.04903746616	78.49639019	21.45457234
102.364	1782300457.244	06/24/2026_13:27:37.244	1	3	2.539661546e-05	4.278153938e-06	1.320292481e-13	9.199688537e-14	1.353530343e-10	3.796867334e-13	4.752953239e-11	1.50277154e-12	5.854607164e-12	4.999999912e-15	8.687768838e-10	6.227247884e-12	2.011169287e-10	5.105088444e-13	4.440168394e-14	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0.05495438561	78.42661801	21.51842761
104.231	1782300459.111	06/24/2026_13:27:39.111	1	3	2.537301953e-05	4.269955753e-06	1.060352774e-13	9.497183449e-14	1.346541628e-10	3.792884789e-13	4.710961482e-11	1.578893591e-12	5.798047806e-12	4.999999912e-15	8.815950192e-10	6.187382637e-12	2.031036034e-10	5.86368031e-13	2.513820146e-14	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0.06222663222	78.51052112	21.42725225
