PV MassSpec-24.10.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EXPORTED RUN DATA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Run Path and Name: C:\Pfeiffer Vacuum\data\005-21-2025\1000ppm.isi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/21/2025 15:58:55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SensorID:  RGA PrismaPro A 200 47505932;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39 Bins;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1141 TimePoints;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time Relative (sec);Time Absolute (UTC);Time Absolute (Date_Time);Step;Ionizer_State;Pressure_(mBar);External_Pressure_(mBar);12_amu_(Methane_/_CH4);13_amu_(Methane_/_CH4);14_amu_(Nitrogen_/_N2);15_amu_(Methane_/_CH4);16_amu_(Oxygen_/_O2);17_amu_(Water_/_H2O);18_amu_(Water_/_H2O);22_amu_(Carbon_dioxide_/_CO2);28_amu_(Nitrogen_/_N2);29_amu_(Nitrogen_/_N2);32_amu_(Oxygen_/_O2);44_amu_(Carbon_dioxide_/_CO2);45_amu_(Carbon_dioxide_/_CO2);Periph:_Digital_In_0;Periph:_Digital_In_1;Periph:_Digital_In_13;Periph:_Digital_In_14;Periph:_Digital_In_15;Periph:_Digital_In_16;Periph:_Digital_In_17;Periph:_Digital_Out_2;Periph:_Digital_Out_3;Periph:_Digital_Out_4;Periph:_Digital_Out_5;Periph:_Digital_Out_6;Periph:_Digital_Out_7;Periph:_Digital_Out_8;Periph:_Digital_Out_9;Periph:_Digital_Out_10;Periph:_Digital_Out_11;;ch4;co2;n2;o2
22.227;1747835957.835;3:59:17 PM;1;3;3.893256871e-05;6.691326234e-06;1.652206204e-13;3.712208763e-13;4.856732239e-10;4.53745895e-12;1.732469307e-10;6.930967844e-13;2.532905309e-12;1.509925675e-14;2.872320604e-09;1.98784704e-11;6.598694924e-10;1.901990799e-13;1.086183891e-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;2.780225928e-09;0.1369807696;0.003762302458;79.1236239;20.73563303
24.093;1747835959.701;3:59:19 PM;1;3;3.889175787e-05;6.614831818e-06;1.777616411e-13;3.8966798e-13;4.847739987e-10;4.874412506e-12;1.747809952e-10;7.049408258e-13;2.427109078e-12;4.999999912e-15;2.900028662e-09;2.005500974e-11;6.657397411e-10;2.236602288e-13;4.999999912e-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;3.849483793e-09;0.1460518545;0.004762486481;79.12279505;20.72639061
25.959;1747835961.567;3:59:21 PM;1;3;3.875505718e-05;6.719605608e-06;1.824600312e-13;4.397313134e-13;4.867379833e-10;4.578753175e-12;1.72568404e-10;7.635825023e-13;2.458088637e-12;4.999999912e-15;2.886803907e-09;1.980750806e-11;6.652300932e-10;1.724399703e-13;3.7488035e-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;3.593430396e-09;0.1377066425;0.003231114952;79.08302139;20.77604085
27.826;1747835963.434;3:59:23 PM;1;3;3.88005792e-05;6.704166481e-06;1.219639217e-13;4.157231742e-13;4.854436297e-10;4.621666331e-12;1.731313148e-10;7.644970269e-13;2.55246475e-12;4.999999912e-15;2.879811944e-09;1.992733582e-11;6.654047313e-10;1.162051819e-13;4.999999912e-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;8.47882291e-10;0.1391514087;0.001414047862;79.03612467;20.82330987
29.692;1747835965.300;3:59:25 PM;1;3;3.899581498e-05;6.714464689e-06;7.763092198e-14;3.525487736e-13;4.856324232e-10;4.625339174e-12;1.726871424e-10;8.797439231e-13;2.589431057e-12;4.999999912e-15;2.892145634e-09;2.004873351e-11;6.65738964e-10;7.901285285e-14;4.999999912e-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;7.987553224e-09;0.1385783369;0.0002448716097;79.10079348;20.76038332
31.559;1747835967.167;3:59:27 PM;1;3;3.882679448e-05;6.714464689e-06;5.759332085e-14;3.115153263e-13;4.89163765e-10;4.638961958e-12;1.738036104e-10;8.509567291e-13;2.604360521e-12;7.044096751e-14;2.895139462e-09;1.993819172e-11;6.665338836e-10;4.687235368e-14;4.999999912e-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1.246009768e-08;0.1386857607;0;79.09610322;20.76521102
33.425;1747835969.033;3:59:29 PM;1;3;3.904635014e-05;6.701604889e-06;1.538251406e-13;3.432939696e-13;4.882409477e-10;4.554192093e-12;1.729992816e-10;7.928694593e-13;2.644482289e-12;2.580279706e-14;2.891937578e-09;2.008498923e-11;6.681776799e-10;1.238924599e-13;4.999999912e-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;5.824601555e-09;0.1363418609;0.0016486866;79.04410753;20.81790192
35.291;1747835970.899;3:59:30 PM;1;3;3.908477811e-05;6.66317419e-06;1.557292706e-13;3.756524172e-13;4.883171645e-10;4.577936554e-12;1.733159727e-10;7.001727215e-13;2.555863507e-12;2.0785311e-14;2.88963653e-09;1.994427887e-11;6.693483545e-10;1.69584507e-13;4.999999912e-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;3.045470343e-09;0.137189955;0.003078790434;79.00061235;20.85911891
37.158;1747835972.766;3:59:32 PM;1;3;3.883838872e-05;6.755765298e-06;1.625737441e-13;4.110755247e-13;4.889187943e-10;4.601559151e-12;1.739884903e-10;7.178218523e-13;2.458397635e-12;4.999999912e-15;2.895380158e-09;2.005346236e-11;6.68026412e-10;1.944817734e-13;4.3926285e-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1.652727838e-10;0.1378481457;0.003920421572;79.05901271;20.79921872
39.024;1747835974.632;3:59:34 PM;1;3;3.897525312e-05;6.681078503e-06;1.544608354e-13;4.420471422e-13;4.877820925e-10;4.571821654e-12;1.728229226e-10;7.236756767e-13;2.498425512e-12;4.999999912e-15;2.897403206e-09;1.998691664e-11;6.694473864e-10;1.507093061e-13;6.196264882e-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;3.007390946e-09;0.136909375;0.002581535506;79.04419976;20.81630933
40.891;1747835976.499;3:59:36 PM;1;3;3.894831389e-05;6.701604889e-06;1.272751164e-13;4.392105982e-13;4.887138472e-10;4.692554505e-12;1.738062194e-10;7.298116647e-13;2.585809388e-12;4.999999912e-15;2.886316741e-09;1.981244682e-11;6.637748129e-10;1.742848758e-13;3.792709961e-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;7.915158152e-10;0.1411871026;0.003290891263;79.10662727;20.74889474
42.757;1747835978.365;3:59:38 PM;1;3;3.904809273e-05;6.668290098e-06;9.621338828e-14;4.245767962e-13;4.889189609e-10;4.654622607e-12;1.73942194e-10;8.066685883e-13;2.617376585e-12;4.999999912e-15;2.891673567e-09;1.999190397e-11;6.709724443e-10;9.015197985e-14;4.999999912e-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1.141234378e-09;0.1394619163;0.0005926391033;78.97148717;20.88845827
44.623;1747835980.231;3:59:40 PM;1;3;3.894153997e-05;6.581962225e-06;8.1408838e-14;3.51503928e-13;4.895673311e-10;4.584206278e-12;1.729843768e-10;8.029314518e-13;2.586391388e-12;4.999999912e-15;2.886109574e-09;1.994300038e-11;6.636021177e-10;6.850544302e-14;6.660578529e-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;7.584065811e-09;0.1376050366;0.0001069391599;79.12009078;20.74219725
46.49;1747835982.098;3:59:42 PM;1;3;3.902185927e-05;6.704166481e-06;5.292431261e-14;3.278222691e-13;4.898149109e-10;4.607470221e-12;1.739746264e-10;8.303496237e-13;2.610129127e-12;5.127156159e-14;2.904174234e-09;1.999208785e-11;6.695513588e-10;1.101811174e-13;4.999999912e-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1.082874154e-08;0.1373076153;0.001215116668;79.07563374;20.78584352
48.356;1747835983.964;3:59:43 PM;1;3;3.903594188e-05;6.704166481e-06;8.290080861e-14;3.588461993e-13;4.883483062e-10;4.63540404e-12;1.733776178e-10;8.291387867e-13;2.635597469e-12;4.871477909e-14;2.909089858e-09;2.000949059e-11;6.709779954e-10;5.990169569e-14;4.999999912e-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;7.346637589e-09;0.138049584;0;79.07190696;20.79004345
50.223;1747835985.831;3:59:45 PM;1;3;3.897482748e-05;6.79211189e-06;1.974144047e-13;3.67540037e-13;4.875789217e-10;4.533662942e-12;1.724950044e-10;7.238329402e-13;2.505448756e-12;3.540516743e-14;2.884126271e-09;1.987149854e-11;6.658961715e-10;1.671471934e-13;4.999999912e-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;2.08957718e-09;0.1362061748;0.003010308396;79.05509903;20.80568448
52.089;1747835987.697;3:59:47 PM;1;3;3.887787898e-05;6.686208053e-06;2.134665058e-13;4.116251339e-13;4.856232083e-10;4.581754247e-12;1.726496168e-10;6.970848052e-13;2.545415918e-12;4.457145306e-14;2.89643709e-09;1.996924674e-11;6.670591857e-10;2.437217637e-13;2.592126986e-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1.964225254e-09;0.1373247605;0.005429390523;79.09084518;20.76640067
53.955;1747835989.563;3:59:49 PM;1;3;3.880212171e-05;6.779103387e-06;2.058225145e-13;4.591391828e-13;4.895882033e-10;4.669169565e-12;1.733972133e-10;7.588403105e-13;2.560934321e-12;4.999999912e-15;2.90479818e-09;2.007237258e-11;6.701886268e-10;2.161930303e-13;5.588830451e-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;5.235584361e-09;0.1396458447;0.004605089056;79.06264263;20.79310644
55.822;1747835991.430;3:59:51 PM;1;3;3.890241715e-05;6.737660442e-06;1.669555472e-13;4.777082592e-13;4.886996363e-10;4.667431372e-12;1.735307731e-10;7.933673792e-13;2.560080403e-12;4.999999912e-15;2.888154826e-09;1.978518564e-11;6.679105047e-10;1.949327879e-13;7.091687806e-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;5.744458859e-09;0.140325997;0.003989060824;79.02186995;20.83381499
57.688;1747835993.296;3:59:53 PM;1;3;3.884379839e-05;6.584477887e-06;1.646307331e-13;3.000048398e-13;4.865134962e-10;4.649275756e-12;1.718157283e-10;8.652490616e-13;2.583136613e-12;4.999999912e-15;2.87694224e-09;1.973196433e-11;6.626243443e-10;1.182382642e-13;4.999999912e-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1.031086707e-08;0.1399408022;0.001480321739;79.0926771;20.76590177
59.555;1747835995.163;3:59:55 PM;1;3;3.879651194e-05;6.758346899e-06;9.768841823e-14;3.529007598e-13;4.864045278e-10;4.683378685e-12;1.71831771e-10;8.92226668e-13;2.6676853e-12;3.766774829e-14;2.874926297e-09;2.005465238e-11;6.642427719e-10;1.030927053e-13;4.999999912e-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;7.878222578e-09;0.1410819988;0.001003824836;79.04278571;20.81512846
61.421;1747835997.029;3:59:57 PM;1;3;3.878084317e-05;6.706743534e-06;4.966709823e-14;3.126891378e-13;4.866400061e-10;4.61624055e-12;1.732577831e-10;8.255152746e-13;2.667286964e-12;8.163884472e-14;2.886740846e-09;1.992949729e-11;6.676464381e-10;1.319939167e-13;4.999999912e-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1.238595629e-08;0.1382701008;0.001905126341;79.02304779;20.83677699
63.287;1747835998.895;3:59:58 PM;1;3;3.895937334e-05;6.650420346e-06;1.05430462e-13;2.734413444e-13;4.848557111e-10;4.545471204e-12;1.716455728e-10;8.037787016e-13;2.628975163e-12;4.753645123e-14;2.874660954e-09;1.998001244e-11;6.620821114e-10;1.416595113e-13;4.999999912e-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1.358100494e-08;0.1367406314;0.002219226322;79.09405872;20.76698143
65.154;1747836000.762;4:00:00 PM;1;3;3.888524225e-05;6.758346899e-06;1.807206457e-13;4.075256029e-13;4.844233348e-10;4.522114454e-12;1.724033971e-10;7.567972399e-13;2.536688741e-12;5.660662741e-15;2.875490512e-09;2.001948086e-11;6.622088988e-10;1.763159795e-13;3.312417547e-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1.138968906e-09;0.1364313946;0.003358645812;79.0905454;20.76966456
67.02;1747836002.628;4:00:02 PM;1;3;3.892714085e-05;6.599648259e-06;1.808854038e-13;4.689655782e-13;4.854887048e-10;4.612391632e-12;1.718325621e-10;6.978175091e-13;2.572855557e-12;4.999999912e-15;2.870401472e-09;1.996747732e-11;6.681100118e-10;1.107770085e-13;4.191908458e-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;5.889659738e-09;0.1393242585;0.001310061464;78.92719414;20.93217154
68.887;1747836004.495;4:00:04 PM;1;3;3.882439705e-05;6.706743534e-06;2.128750735e-13;4.572947381e-13;4.85220919e-10;4.631139222e-12;1.723128862e-10;7.309860725e-13;2.495070556e-12;4.999999912e-15;2.87449442e-09;1.975503788e-11;6.619406689e-10;2.558425748e-13;8.96556592e-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;5.638249595e-09;0.1399900029;0.005962404548;79.0876231;20.76642449
70.753;1747836006.361;4:00:06 PM;1;3;3.901506352e-05;6.701604889e-06;1.113793641e-13;4.432035522e-13;4.866704817e-10;4.674325163e-12;1.726029319e-10;7.884131173e-13;2.565532639e-12;4.999999912e-15;2.871212379e-09;1.979854648e-11;6.639824801e-10;1.655019302e-13;9.764759124e-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;8.350981661e-10;0.1412106777;0.003132034619;79.02241669;20.8332406
72.619;1747836008.227;4:00:08 PM;1;3;3.895899499e-05;6.675967143e-06;7.945292373e-14;3.897914706e-13;4.880195692e-10;4.63587892e-12;1.732930188e-10;8.188291625e-13;2.585323015e-12;9.702926735e-15;2.891196393e-09;1.985756698e-11;6.677562392e-10;1.12607467e-13;1.699892126e-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;4.644262157e-09;0.1389371041;0.001316797574;79.04624138;20.81350471
74.486;1747836010.094;4:00:10 PM;1;3;3.88927765e-05;6.711885362e-06;1.039350152e-13;3.464629842e-13;4.876135051e-10;4.663765901e-12;1.725544291e-10;9.071233348e-13;2.636743037e-12;4.999999912e-15;2.892178941e-09;1.997524195e-11;6.693898769e-10;1.038115516e-13;4.999999912e-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;8.089030528e-09;0.1395961384;0.001020079584;79.01696329;20.84242049
76.352;1747836011.960;4:00:11 PM;1;3;3.887669664e-05;6.627525181e-06;5.468358649e-14;3.249777292e-13;4.898477179e-10;4.661656044e-12;1.734655197e-10;8.237416283e-13;2.642812835e-12;2.986447081e-14;2.899375184e-09;1.993762447e-11;6.682637776e-10;6.32778877e-14;4.999999912e-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1.153680819e-08;0.1391839932;0;79.08129128;20.77952473
78.219;1747836013.827;4:00:13 PM;1;3;3.873915921e-05;6.69389874e-06;7.203744843e-14;2.777708619e-13;4.881466342e-10;4.637798826e-12;1.730485755e-10;8.022140352e-13;2.649939729e-12;3.620665711e-14;2.893898676e-09;2.005676528e-11;6.686122211e-10;1.158293567e-13;4.999999912e-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1.507238364e-08;0.138541873;0.001395506959;79.04297372;20.8170889
80.085;1747836015.693;4:00:15 PM;1;3;3.886524064e-05;6.658084658e-06;1.499267426e-13;3.601524461e-13;4.868086489e-10;4.579194662e-12;1.727769039e-10;7.272219936e-13;2.717502005e-12;9.383340357e-15;2.897725837e-09;2.000886956e-11;6.664002683e-10;1.486762238e-13;4.999999912e-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;4.644477709e-09;0.137018157;0.00242170324;79.11632808;20.74423206
81.951;1747836017.559;4:00:17 PM;1;3;3.88360786e-05;6.742826827e-06;1.814399732e-13;4.350871605e-13;4.894548655e-10;4.59638317e-12;1.735518673e-10;7.055765477e-13;2.578631319e-12;4.999999912e-15;2.90754687e-09;2.038681897e-11;6.689358512e-10;1.688870533e-13;6.232661549e-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;2.976073995e-09;0.1372965214;0.003044729286;79.10902438;20.75063436
83.818;1747836019.426;4:00:19 PM;1;3;3.885713522e-05;6.650420346e-06;2.049204854e-13;4.545971076e-13;4.902147022e-10;4.641265237e-12;1.730323523e-10;7.379141785e-13;2.58064555e-12;4.999999912e-15;2.880621297e-09;1.986178756e-11;6.645264339e-10;1.954102163e-13;1.089773955e-13;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;5.054333748e-09;0.1399140755;0.004082119918;79.06332906;20.79267474
85.684;1747836021.292;4:00:21 PM;1;3;3.896043199e-05;6.737660442e-06;1.843865772e-13;5.09480316e-13;4.911880902e-10;4.654360231e-12;1.746593287e-10;7.254408662e-13;2.564253931e-12;4.999999912e-15;2.895125917e-09;1.996812785e-11;6.68041622e-10;1.899143006e-13;6.486691474e-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;9.289899694e-09;0.1397418397;0.003813510548;79.05427301;20.80217164
87.551;1747836023.159;4:00:23 PM;1;3;3.904450568e-05;6.742826827e-06;1.670974015e-13;4.530907171e-13;4.895233108e-10;4.704112967e-12;1.734942606e-10;8.177070674e-13;2.608689523e-12;4.999999912e-15;2.907439178e-09;1.998157889e-11;6.676601494e-10;1.456953048e-13;4.999999912e-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;3.170257688e-09;0.1406624385;0.002321202516;79.13633517;20.72068119
89.417;1747836025.025;4:00:25 PM;1;3;3.889204527e-05;6.691326234e-06;8.910457956e-14;4.213071407e-13;4.893973005e-10;4.659943438e-12;1.727693266e-10;8.56465994e-13;2.610232126e-12;2.894053066e-14;2.910597319e-09;2.026720458e-11;6.688899989e-10;1.363413641e-13;4.999999912e-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1.706478282e-09;0.1389999409;0.002027493981;79.13047481;20.72849775
91.283;1747836026.891;4:00:26 PM;1;3;3.8962291e-05;6.683646461e-06;4.375504204e-14;3.85659034e-13;4.913918716e-10;4.743957831e-12;1.734539734e-10;8.072972629e-13;2.745043776e-12;6.321764672e-14;2.895139684e-09;1.996789019e-11;6.66406319e-10;1.29765705e-13;4.999999912e-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;7.122067643e-09;0.1420737463;0.001831401712;79.09883383;20.75726102
93.15;1747836028.758;4:00:28 PM;1;3;3.895327245e-05;6.658084658e-06;7.493972213e-14;3.375157684e-13;4.881744453e-10;4.62578283e-12;1.734061783e-10;8.687731524e-13;2.67957683e-12;3.203594481e-14;2.899358753e-09;1.993882143e-11;6.655904161e-10;1.097111632e-13;4.999999912e-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;9.440873763e-09;0.1382642288;0.001203529852;79.14202811;20.71850413
95.016;1747836030.624;4:00:30 PM;1;3;3.884065882e-05;6.67851873e-06;1.527149853e-13;3.520803712e-13;4.887317218e-10;4.581870907e-12;1.733934107e-10;7.518584279e-13;2.598815694e-12;4.130378629e-14;2.877705629e-09;1.987997614e-11;6.659388596e-10;1.298353786e-13;4.999999912e-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;5.317335257e-09;0.1378158151;0.001842691621;79.01416787;20.84617362
96.883;1747836032.491;4:00:32 PM;1;3;3.898991417e-05;6.647880127e-06;1.653426202e-13;4.111561623e-13;4.871061887e-10;4.588147137e-12;1.730232901e-10;7.312320237e-13;2.591502533e-12;1.794925496e-14;2.876212601e-09;2.000780965e-11;6.656505347e-10;1.885766527e-13;2.537069404e-13;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;3.823958633e-10;0.1382633124;0.004123120938;79.01094434;20.84666923
98.749;1747836034.357;4:00:34 PM;1;3;3.909326915e-05;6.717023552e-06;1.355821651e-13;4.165335882e-13;4.915942098e-10;4.661191572e-12;1.744859951e-10;7.4305308e-13;2.566166897e-12;4.999999912e-15;2.913101094e-09;1.998749083e-11;6.718021694e-10;2.037152727e-13;4.999999912e-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;7.228136989e-10;0.1388256759;0.004117007274;79.06801107;20.78904624
